                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3212,                0.96082,                 1.3792,                0.81247,                0.61404,                0.68962,                0.40397,                 1.5568,                 1.0958,                  1.593,              0.0006619,              0.0006619,              0.0006619
                      2,                  1.528,                 1.1627,                 1.5182,                0.82396,                 0.6239,                0.69772,                0.40092,                 1.5232,                 1.1616,                 1.5274,              0.0013023,              0.0013023,              0.0013023
                      3,                 1.5062,                 1.1261,                 1.4829,                0.87155,                0.60349,                0.70519,                0.41464,                 1.5094,                 1.0851,                 1.5357,              0.0019162,              0.0019162,              0.0019162
                      4,                 1.5301,                 1.1494,                  1.509,                0.84839,                 0.6043,                0.70347,                0.42524,                 1.4568,                 1.0441,                 1.5074,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.5267,                 1.1673,                 1.5131,                0.83981,                0.60152,                0.68723,                  0.395,                 1.5346,                 1.1273,                 1.5167,              0.0018812,              0.0018812,              0.0018812
                      6,                 1.5022,                 1.1323,                 1.4875,                0.84545,                0.61867,                0.71331,                0.42653,                 1.4788,                 1.0495,                 1.4967,              0.0018416,              0.0018416,              0.0018416
                      7,                 1.4852,                 1.0776,                 1.4661,                0.85368,                 0.6399,                0.71643,                0.42383,                 1.4455,                 1.0628,                 1.4786,               0.001802,               0.001802,               0.001802
                      8,                 1.4781,                 1.0921,                  1.451,                0.85849,                0.62783,                0.72839,                0.44646,                 1.4339,                  1.009,                 1.4602,              0.0017624,              0.0017624,              0.0017624
                      9,                  1.478,                 1.0918,                 1.4551,                0.85152,                 0.6333,                0.72758,                0.43285,                 1.4853,                 1.0026,                 1.4789,              0.0017228,              0.0017228,              0.0017228
                     10,                  1.452,                  1.045,                  1.458,                0.86892,                0.62317,                0.71978,                0.44112,                   1.44,                0.97324,                 1.4629,              0.0016832,              0.0016832,              0.0016832
                     11,                 1.4525,                   1.03,                 1.4378,                0.82933,                0.65298,                0.73458,                0.45185,                 1.4134,                 0.9613,                  1.432,              0.0016436,              0.0016436,              0.0016436
                     12,                 1.4404,                 1.0322,                 1.4198,                0.84659,                0.66142,                0.74488,                0.45867,                 1.4102,                0.94658,                 1.4168,               0.001604,               0.001604,               0.001604
                     13,                 1.4183,                0.98779,                 1.4101,                0.86167,                0.66648,                0.75043,                0.45872,                 1.3938,                0.92291,                 1.4078,              0.0015644,              0.0015644,              0.0015644
                     14,                 1.4202,                0.98568,                  1.421,                0.84699,                0.64904,                0.72939,                0.43842,                 1.4601,                0.94291,                 1.4603,              0.0015248,              0.0015248,              0.0015248
                     15,                 1.4068,                 0.9809,                 1.3972,                0.85237,                0.67267,                0.75145,                0.46122,                 1.3772,                0.90811,                 1.3986,              0.0014852,              0.0014852,              0.0014852
                     16,                 1.3943,                0.96368,                 1.4009,                0.86617,                0.69179,                0.77025,                0.47399,                 1.3795,                0.89842,                 1.4105,              0.0014456,              0.0014456,              0.0014456
                     17,                 1.3974,                0.98259,                 1.4028,                0.88158,                0.67042,                 0.7643,                0.47492,                 1.3549,                0.88068,                 1.3893,               0.001406,               0.001406,               0.001406
                     18,                 1.3885,                0.96196,                 1.3788,                0.87415,                0.68504,                0.76835,                0.47564,                 1.3456,                0.86649,                 1.3789,              0.0013664,              0.0013664,              0.0013664
                     19,                  1.374,                0.93626,                  1.368,                0.84566,                0.67489,                0.75944,                0.47245,                 1.3646,                 0.8696,                 1.3992,              0.0013268,              0.0013268,              0.0013268
                     20,                 1.3607,                0.92199,                 1.3649,                0.86973,                0.68054,                0.76705,                0.48027,                  1.368,                0.89358,                 1.3781,              0.0012872,              0.0012872,              0.0012872
                     21,                 1.3553,                0.91104,                 1.3628,                0.86866,                0.69123,                0.76514,                 0.4689,                 1.3695,                0.89113,                 1.3952,              0.0012476,              0.0012476,              0.0012476
                     22,                 1.3425,                0.90904,                 1.3682,                0.86359,                0.69854,                0.78118,                0.48261,                 1.3612,                0.84039,                 1.3859,               0.001208,               0.001208,               0.001208
                     23,                 1.3438,                0.90287,                 1.3593,                0.87175,                0.70247,                0.78123,                 0.4858,                 1.3487,                0.82274,                 1.3876,              0.0011684,              0.0011684,              0.0011684
                     24,                 1.3482,                0.89969,                 1.3552,                0.85713,                0.70079,                0.78096,                0.47779,                 1.3811,                0.85215,                 1.3989,              0.0011288,              0.0011288,              0.0011288
                     25,                 1.3289,                0.87057,                 1.3396,                0.84186,                0.70963,                0.78261,                0.48946,                 1.3288,                0.83314,                 1.3676,              0.0010892,              0.0010892,              0.0010892
                     26,                 1.3135,                0.86689,                 1.3363,                0.87981,                0.69854,                0.79184,                0.49407,                 1.3209,                0.79518,                 1.3523,              0.0010496,              0.0010496,              0.0010496
                     27,                 1.3198,                0.86649,                   1.33,                0.85658,                 0.7088,                0.78033,                0.49122,                 1.3173,                0.81924,                 1.3598,                0.00101,                0.00101,                0.00101
                     28,                 1.3072,                0.84525,                 1.3285,                0.85834,                0.72588,                0.79398,                0.49705,                  1.329,                0.79151,                 1.3487,              0.0009704,              0.0009704,              0.0009704
                     29,                 1.3015,                0.84604,                 1.3243,                0.86292,                 0.7152,                0.79291,                0.50007,                 1.3117,                0.78924,                 1.3424,              0.0009308,              0.0009308,              0.0009308
                     30,                 1.2978,                0.83917,                 1.3204,                0.86768,                 0.7126,                0.79068,                0.49916,                 1.3121,                0.78655,                  1.352,              0.0008912,              0.0008912,              0.0008912
                     31,                 1.2973,                0.82329,                 1.3198,                0.87332,                0.71991,                0.79686,                0.50312,                 1.3032,                 0.7827,                 1.3332,              0.0008516,              0.0008516,              0.0008516
                     32,                 1.2813,                 0.8131,                 1.3149,                0.87703,                0.71802,                0.79681,                0.49417,                 1.3286,                0.78993,                 1.3535,               0.000812,               0.000812,               0.000812
                     33,                 1.2896,                0.82897,                 1.3181,                0.85421,                0.73172,                0.79602,                0.49966,                 1.3199,                0.77375,                 1.3489,              0.0007724,              0.0007724,              0.0007724
                     34,                 1.2636,                0.79507,                 1.2968,                0.86298,                0.72047,                0.80051,                0.50336,                 1.3182,                0.76097,                 1.3476,              0.0007328,              0.0007328,              0.0007328
