                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.247,                 0.7314,                 1.2774,                0.88569,                0.74423,                0.82986,                0.53868,                 1.2354,                0.63535,                 1.2629,              0.0006619,              0.0006619,              0.0006619
                      2,                 1.2552,                0.76338,                 1.2794,                0.88008,                0.72845,                0.81409,                0.52942,                 1.2557,                 0.6836,                 1.2742,              0.0013023,              0.0013023,              0.0013023
                      3,                 1.2692,                0.76964,                 1.2789,                0.88603,                0.74592,                0.82218,                0.52567,                 1.2697,                0.68323,                 1.2824,              0.0019162,              0.0019162,              0.0019162
                      4,                 1.2537,                0.76877,                 1.2812,                0.89113,                0.71775,                0.80976,                0.51636,                   1.27,                0.70797,                 1.2817,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.2874,                0.80103,                 1.2963,                0.88253,                0.71956,                0.81087,                0.51377,                 1.2803,                0.71223,                 1.2996,              0.0018812,              0.0018812,              0.0018812
                      6,                  1.262,                0.76124,                 1.2844,                 0.8778,                0.73248,                0.81255,                0.51931,                 1.2513,                0.73109,                 1.2804,              0.0018416,              0.0018416,              0.0018416
                      7,                 1.2523,                0.75597,                 1.2767,                0.89707,                0.71689,                0.81249,                0.52278,                  1.273,                0.69045,                 1.2899,               0.001802,               0.001802,               0.001802
                      8,                 1.2381,                0.75454,                 1.2595,                0.87947,                0.74407,                0.82512,                0.53068,                 1.2629,                0.68247,                 1.2829,              0.0017624,              0.0017624,              0.0017624
                      9,                 1.2254,                0.74956,                 1.2627,                0.86397,                0.72338,                0.81189,                0.51727,                 1.2682,                0.70247,                 1.2875,              0.0017228,              0.0017228,              0.0017228
                     10,                 1.2344,                0.74989,                 1.2631,                0.87481,                0.73915,                0.82281,                0.52427,                 1.2565,                0.68194,                 1.2767,              0.0016832,              0.0016832,              0.0016832
                     11,                 1.2249,                0.72078,                 1.2493,                0.88093,                0.73577,                 0.8179,                0.52206,                 1.2708,                0.67203,                 1.2908,              0.0016436,              0.0016436,              0.0016436
                     12,                  1.231,                0.73198,                 1.2522,                0.86273,                0.75211,                0.82111,                0.52879,                 1.2643,                0.66795,                  1.276,               0.001604,               0.001604,               0.001604
                     13,                 1.2201,                0.72255,                 1.2531,                0.88139,                0.71887,                0.80985,                0.51833,                 1.2666,                0.68264,                 1.2958,              0.0015644,              0.0015644,              0.0015644
